Product_ID,Product_Name,Dividend_Date,Shares_Held,Dividend_per_Share,Total_Payment
1046164,BOC HONG KONG HOLDINGS LTD,2024-09-12,0.0,0.57,0.0
1046164,BOC HONG KONG HOLDINGS LTD,2025-05-14,0.0,0.29,0.0
1009174,Cheung Kong (Holdings) Limited,2024-05-28,0.0,1.775,0.0
1009174,Cheung Kong (Holdings) Limited,2024-09-13,0.0,0.688,0.0
1009174,Cheung Kong (Holdings) Limited,2025-05-27,0.0,1.514,0.0
1046241,NEW WORLD DEVELOPMENT,2024-03-20,0.0,0.2,0.0
1046148,POWER ASSETS HOLDINGS LTD,2024-05-27,326796.0,2.04,666663.84
1046148,POWER ASSETS HOLDINGS LTD,2024-09-11,326796.0,0.78,254900.88
1046148,POWER ASSETS HOLDINGS LTD,2025-05-26,0.0,2.04,0.0
1046679,INNOLUX CORP,2024-08-15,181549987.47,1.2,217859984.964
1046679,INNOLUX CORP,2025-05-22,158230600.47,1.0,158230600.47
1046601,LITE-ON TECHNOLOGY CORP.,2024-03-27,0.0,2.506,0.0
1046601,LITE-ON TECHNOLOGY CORP.,2024-08-19,0.0,2.0,0.0
1046601,LITE-ON TECHNOLOGY CORP.,2025-03-20,0.0,2.5066,0.0
1046272,CATCHER TECHNOLOGY CO LTD,2024-07-04,0.0,5.0,0.0
1046272,CATCHER TECHNOLOGY CO LTD,2024-12-10,0.0,7.5,0.0
1046477,TRAVELSKY TECHNOLOGY LTD-H,2024-06-26,0.0,0.1756,0.0
1009164,China Petroleum & Chemical Corp,2024-07-08,0.0,0.2194,0.0
1009164,China Petroleum & Chemical Corp,2024-09-05,0.0,0.1593,0.0
1046333,CHINA TAIPING INSURANCE HOLD,2024-07-10,0.0,0.3,0.0
1046444,WEICHAI POWER CO LTD-H,2024-05-31,0.0,0.3225,0.0
1046444,WEICHAI POWER CO LTD-H,2024-09-20,0.0,0.4061,0.0
1046304,PEGATRON CORP,2024-06-27,0.0,4.0006,0.0
1101489,"JD.com, Inc.",2025-04-08,132676.0,1.0,132676.0
1046626,CHINA RAILWAY GROUP LTD H,2024-07-15,0.0,0.3842,0.0
1046169,LARGAN PRECISION LTD,2024-03-21,0.0,41.0,0.0
1046169,LARGAN PRECISION LTD,2024-08-15,0.0,40.0,0.0
1046169,LARGAN PRECISION LTD,2025-03-20,0.0,57.5,0.0
1046631,Kunlun Energy Co Ltd,2024-06-03,0.0,0.3048,0.0
1046631,Kunlun Energy Co Ltd,2024-09-09,0.0,0.1769,0.0
1046686,ANTA SPORTS PRODUCTS LTD.,2024-05-13,0.0,1.15,0.0
1046686,ANTA SPORTS PRODUCTS LTD.,2024-09-09,0.0,1.18,0.0
1046686,ANTA SPORTS PRODUCTS LTD.,2025-05-12,0.0,1.18,0.0
1046626,CHINA RAILWAY GROUP LTD H,2024-07-17,0.0,0.2301,0.0
1046193,CHINA MERCHANTS BANK CO. LTD H,2024-07-03,0.0,2.162,0.0
1009166,China Mobile Limited,2024-06-06,0.0,2.4,0.0
1009166,China Mobile Limited,2024-09-02,0.0,2.6,0.0
1046254,CHINA COMMUNICATIONS CONST-H,2024-06-19,0.0,0.3226,0.0
1046254,CHINA COMMUNICATIONS CONST-H,2024-12-03,0.0,0.1535,0.0
1046394,ACER INC,2024-06-20,0.0,1.6,0.0
1009158,CNOOC Ltd,2024-06-13,0.0,0.66,0.0
1009158,CNOOC Ltd,2024-09-12,0.0,0.74,0.0
1046244,CHEUNG KONG INFRASTRUCTURE,2024-05-27,0.0,1.85,0.0
1046244,CHEUNG KONG INFRASTRUCTURE,2024-09-12,0.0,0.72,0.0
1046244,CHEUNG KONG INFRASTRUCTURE,2025-05-26,0.0,1.86,0.0
1046470,AVICHINA INDUSTRY & TECH-H,2024-05-29,0.0,0.0967,0.0
1046470,AVICHINA INDUSTRY & TECH-H,2025-05-22,0.0,0.0884,0.0
