Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2018-11-01,1046285,LENOVO GROUP LTD,BUY,5818798.0,5818798.0
2018-12-03,1046193,CHINA MERCHANTS BANK CO. LTD H,SELL,585939.0,0.0
2018-12-03,1046187,PICC PROPERTY & CASUALTY-H,BUY,2458495.0,2458495.0
2019-01-02,1009174,Cheung Kong (Holdings) Limited,SELL,160178.0,0.0
2019-01-02,1046645,NWS HOLDINGS LTD,BUY,861886.0,861886.0
2019-01-15,1046334,NEW CHINA LIFE INSURANCE (H),SELL,587163.0,0.0
2019-01-15,1009152,"Bank of Communications Co., Ltd.",BUY,2598597.0,2598597.0
2019-02-18,1046260,FIRST FINANCIAL HOLDING CO,BUY,3904142.0,3904142.0
2019-03-01,1046470,AVICHINA INDUSTRY & TECH-H,SELL,2257351.0,0.0
2019-03-01,1046468,COSCO SHIPPING Ports Ltd,BUY,1469641.0,1469641.0
2019-03-01,1046552,ZTE CORP-H,BUY,1487291.0,1487291.0
2019-03-01,1009493,"Baidu, Inc",SELL,28630.0,13438.0
2019-04-01,1046124,Tencent Holdings Ltd,BUY,115529.0,115529.0
2019-04-01,1046639,EVERGRANDE REAL ESTATE GROUP LTD.,BUY,2041566.0,2041566.0
2019-04-01,1009164,China Petroleum & Chemical Corp,SELL,2008342.0,0.0
2019-04-01,1046240,CHINA SHENHUA ENERGY CO-H,BUY,696052.0,696052.0
2019-05-02,1009493,"Baidu, Inc",SELL,13438.0,0.0
2019-05-02,1046124,Tencent Holdings Ltd,BUY,44629.0,160158.0
2019-07-16,1046130,HON HAI PRECISION INDUSTRY LTD,BUY,1597638.0,2305439.0
2019-09-02,1046130,HON HAI PRECISION INDUSTRY LTD,BUY,1034276.0,3339715.0
2019-09-02,1046639,EVERGRANDE REAL ESTATE GROUP LTD.,SELL,2041566.0,0.0
2019-09-02,1046701,COUNTRY GARDEN HOLDINGS LTD,BUY,3421263.0,3421263.0
2019-09-16,1009157,China Unicom (Hong Kong) Limited,BUY,2255228.0,2255228.0
2019-10-15,1046479,CHINA COMMUNICATIONS SERVI-H,SELL,2969551.0,0.0
2019-10-15,1009157,China Unicom (Hong Kong) Limited,BUY,1664269.0,3919497.0
2019-11-01,1046187,PICC PROPERTY & CASUALTY-H,SELL,2458495.0,0.0
2019-11-01,1046334,NEW CHINA LIFE INSURANCE (H),BUY,812749.0,812749.0
2019-11-01,1046269,UNITED MICROELECTRONICS CORP,BUY,6031744.0,11629421.0
2019-12-02,1046453,GUANGZHOU R&F PROPERTIES - H,BUY,2986340.0,2986340.0
2019-12-02,1046269,UNITED MICROELECTRONICS CORP,BUY,5988498.0,17617919.0
2019-12-16,1045677,Alibaba Group Holding Ltd,SELL,20755.0,0.0
2019-12-16,1046124,Tencent Holdings Ltd,BUY,92775.0,252933.0
2020-01-02,1012339,Ping An Insurance (Grp) Co of China Ltd,SELL,163148.0,0.0
2020-01-02,1046179,CHINA PACIFIC INSURANCE (GROUP) LT,BUY,521120.0,521120.0
2020-01-02,1046201,MTR CORP,BUY,232645.0,232645.0
