Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
1997.HK,WHARF REIC,2024-04-05,0.61,2024-08-23,0.64,2025-04-03,0.6,,,,,,,WHARF REIC
0817.HK,CHINA JINMAO,2024-09-13,0.03,,,,,,,,,,,CHINA JINMAO HOLDINGS GROUP
0012.HK,HENDERSON LAND,2024-06-05,1.3,2024-09-03,0.5,,,,,,,,,HENDERSON LAND DEVELOPMENT
AAPL,Apple Inc.,2024-02-09,0.24,2024-05-10,0.25,2024-08-12,0.25,2024-11-08,0.25,2025-02-10,0.25,2025-05-12,0.26,Apple Inc
MSFT,Microsoft Corporation,2024-02-14,0.75,2024-05-15,0.75,2024-08-15,0.75,2024-11-21,0.83,2025-02-20,0.83,2025-05-15,0.83,Microsoft Corp
ABT,Abbott Laboratories,2024-01-11,0.55,2024-04-12,0.55,2024-07-15,0.55,2024-10-15,0.55,2025-01-15,0.59,2025-04-15,0.59,Abbott Laboratories
PFE,"Pfizer, Inc.",2024-01-25,0.42,2024-05-09,0.42,2024-07-26,0.42,2024-11-08,0.42,2025-01-24,0.43,2025-05-09,0.43,Pfizer Inc
MU,"Micron Technology, Inc.",2024-03-28,0.115,2024-07-08,0.115,2024-10-07,0.115,2024-12-30,0.115,2025-03-31,0.115,,,Micron Technology Inc
CHE,Chemed Corp,2024-02-23,0.4,2024-05-30,0.4,2024-08-12,0.5,2024-11-18,0.5,2025-02-24,0.5,2025-05-29,0.5,Chemed Corp
ADI,"Analog Devices, Inc.",2024-03-04,0.92,2024-06-04,0.92,2024-09-03,0.92,2024-12-09,0.92,2025-03-04,0.99,,,Analog Devices Inc
0142.HK,FIRST PACIFIC,2024-06-18,0.125,2024-09-05,0.12,,,,,,,,,FIRST PACIFIC CO
AMGN,Amgen Inc.,2024-02-15,2.25,2024-05-16,2.25,2024-08-16,2.25,2024-11-18,2.25,2025-02-14,2.38,2025-05-16,2.38,Amgen Inc
APD,"Air Products and Chemicals, Inc",2024-03-28,1.77,2024-07-01,1.77,2024-10-01,1.77,2025-01-02,1.77,2025-04-01,1.79,,,Air Products & Chemicals Inc
AVGO,Broadcom Inc.,2024-03-20,0.525,2024-06-24,0.525,2024-09-19,0.53,2024-12-23,0.59,2025-03-20,0.59,,,Broadcom Ltd
CMCSA,Comcast Corporation,2024-01-02,0.29,2024-04-02,0.31,2024-07-03,0.31,2024-10-02,0.31,2025-01-08,0.31,2025-04-02,0.33,Comcast Corp
DIS,Walt Disney Company (The),2024-07-08,0.45,2024-12-16,0.5,,,,,,,,,Walt Disney Co/The
DOW,Dow Inc.,2024-02-28,0.7,2024-05-31,0.7,2024-08-30,0.7,2024-11-29,0.7,2025-02-28,0.7,2025-05-30,0.7,Dow Chemical Co/The
EMR,Emerson Electric Company,2024-02-15,0.525,2024-05-16,0.525,2024-08-16,0.525,2024-11-15,0.528,2025-02-14,0.528,2025-05-16,0.528,Emerson Electric Co
GOOGL,Alphabet Inc.,2024-06-10,0.2,2024-09-09,0.2,2024-12-09,0.2,2025-03-10,0.2,,,,,Alphabet Inc
HON,Honeywell International Inc.,2024-02-29,1.08,2024-05-16,1.08,2024-08-16,1.08,2024-11-15,1.13,2025-02-28,1.13,2025-05-16,1.13,Honeywell International Inc
LMT,Lockheed Martin Corporation,2024-02-29,3.15,2024-06-03,3.15,2024-09-03,3.15,2024-12-02,3.3,2025-03-03,3.3,,,Lockheed Martin Corp
MSI,"Motorola Solutions, Inc.",2024-03-14,0.98,2024-06-14,0.98,2024-09-13,0.98,2024-12-13,1.09,2025-03-14,1.09,,,"Motorola Solutions, Inc."
ORCL,Oracle Corporation,2024-01-10,0.4,2024-04-09,0.4,2024-07-11,0.4,2024-10-10,0.4,2025-01-10,0.4,2025-04-10,0.5,Oracle Corp
PAYC,"Paycom Software, Inc.",2024-03-01,0.375,2024-05-24,0.375,2024-08-26,0.375,2024-11-25,0.375,2025-03-10,0.375,2025-05-27,0.375,Paycom Software Inc
PRGO,Perrigo Company plc,2024-03-07,0.276,2024-05-31,0.276,2024-08-30,0.276,2024-11-29,0.276,2025-03-07,0.29,,,Perrigo Co PLC
QCOM,QUALCOMM Incorporated,2024-02-28,0.8,2024-05-30,0.85,2024-09-05,0.85,2024-12-05,0.85,2025-03-06,0.85,,,QUALCOMM Inc
SAIC,Science Applications Internatio,2024-01-11,0.37,2024-04-11,0.37,2024-07-12,0.37,2024-10-11,0.37,2025-01-10,0.37,2025-04-11,0.37,Science Applications International Corp
SYK,Stryker Corporation,2024-03-27,0.8,2024-06-28,0.8,2024-09-30,0.8,2024-12-31,0.84,2025-03-31,0.84,,,Stryker Corp
UHS,"Universal Health Services, Inc.",2024-02-29,0.2,2024-06-03,0.2,2024-09-03,0.2,2024-12-03,0.2,2025-03-03,0.2,,,Universal Health Services Inc
ZTS,Zoetis Inc.,2024-01-18,0.432,2024-04-18,0.432,2024-07-18,0.432,2024-10-31,0.432,2025-01-21,0.5,2025-04-21,0.5,Zoetis Inc
036570.KS,NCsoft,2025-03-21,1460.0,,,,,,,,,,,NCSOFT CORP
034730.KS,SK,2024-03-29,3500.0,2024-08-13,1500.0,2025-03-31,5500.0,,,,,,,SK
009150.KS,SamsungElecMech,2024-12-27,1800.0,,,,,,,,,,,SamsungElecMech
018260.KS,SAMSUNG SDS,2024-12-27,2900.0,,,,,,,,,,,SAMSUNG SDS CO LTD
