Product_ID,Product_Name,Date,Transaction_Type,Units,Cumulative_Quantity
1046605,BEIJING ENTERPRISES HOLDINGS LTD.,2017-05-15,SELL,128028.0,0.0
1046378,"BGF Co., Ltd.",2021-08-13,BUY,13313.0,13313.0
1046378,"BGF Co., Ltd.",2021-11-01,BUY,13846.0,27159.0
1046378,"BGF Co., Ltd.",2024-07-15,SELL,13313.0,13846.0
1046378,"BGF Co., Ltd.",2025-03-21,BUY,50.0,13896.0
1046378,"BGF Co., Ltd.",2025-03-21,BUY,165869.0,179765.0
1046378,"BGF Co., Ltd.",2025-03-24,BUY,395.0,180160.0
1061582,BGF retail Co Ltd,2020-03-31,BUY,377.0,377.0
1061582,BGF retail Co Ltd,2020-10-30,SELL,377.0,0.0
1061582,BGF retail Co Ltd,2024-07-15,BUY,20129.0,20129.0
1061582,BGF retail Co Ltd,2025-03-21,SELL,20129.0,0.0
1046735,BNK FINANCIAL GROUP INC,2020-03-31,BUY,11373.0,11373.0
1046735,BNK FINANCIAL GROUP INC,2021-04-30,SELL,11373.0,0.0
1046735,BNK FINANCIAL GROUP INC,2021-11-01,BUY,7493.0,7493.0
1046735,BNK FINANCIAL GROUP INC,2025-03-21,SELL,7493.0,0.0
1046164,BOC HONG KONG HOLDINGS LTD,2017-02-28,BUY,520576.0,520576.0
1046164,BOC HONG KONG HOLDINGS LTD,2021-05-17,SELL,520576.0,0.0
1009493,"Baidu, Inc",2017-02-28,BUY,13438.0,13438.0
1009493,"Baidu, Inc",2017-09-01,BUY,28630.0,42068.0
1009493,"Baidu, Inc",2019-03-01,SELL,28630.0,13438.0
1009493,"Baidu, Inc",2019-05-02,SELL,13438.0,0.0
1009493,"Baidu, Inc",2021-09-30,BUY,9683.0,9683.0
1009493,"Baidu, Inc",2022-06-30,SELL,9683.0,0.0
1045687,Bank of America Corp,2025-03-26,BUY,17.0,17.0
1045687,Bank of America Corp,2025-03-26,BUY,1219187.0,1219204.0
1009152,"Bank of Communications Co., Ltd.",2019-01-15,BUY,2598597.0,2598597.0
1009152,"Bank of Communications Co., Ltd.",2020-02-04,SELL,2598597.0,0.0
1045746,Bank of New York Mellon Corp/The,2021-06-29,BUY,100270.0,100270.0
1045746,Bank of New York Mellon Corp/The,2025-03-26,SELL,100270.0,0.0
1048427,Berkshire Hathaway Inc,2021-06-29,BUY,11.0,11.0
1048427,Berkshire Hathaway Inc,2025-03-26,SELL,11.0,0.0
1046023,Best Buy Co Inc,2021-06-29,BUY,45430.0,45430.0
1046023,Best Buy Co Inc,2022-07-15,SELL,45430.0,0.0
1050509,Bio-Techne Corp,2021-06-29,BUY,10649.0,10649.0
1050509,Bio-Techne Corp,2021-06-30,BUY,10649.0,21298.0
1050509,Bio-Techne Corp,2024-06-03,SELL,10649.0,10649.0
1050509,Bio-Techne Corp,2024-06-03,SELL,10649.0,0.0
1045723,Biogen Inc,2021-06-29,BUY,15309.0,15309.0
1045723,Biogen Inc,2021-06-30,BUY,15309.0,30618.0
1045723,Biogen Inc,2022-07-15,SELL,15309.0,15309.0
1045723,Biogen Inc,2022-07-15,SELL,15309.0,0.0
1050422,Blackbaud Inc,2025-01-21,BUY,64.0,64.0
1050422,Blackbaud Inc,2025-01-21,BUY,457676.0,457740.0
1045722,Broadcom Ltd,2021-06-29,BUY,10489.0,10489.0
1045722,Broadcom Ltd,2021-06-30,BUY,10489.0,20978.0
1045722,Broadcom Ltd,2023-02-01,SELL,10489.0,10489.0
1045722,Broadcom Ltd,2023-02-01,SELL,10489.0,0.0
1045722,Broadcom Ltd,2025-01-21,BUY,8.0,8.0
1045722,Broadcom Ltd,2025-01-21,BUY,57210.0,57218.0
1045722,Broadcom Ltd,2025-03-26,BUY,3.0,57221.0
1045722,Broadcom Ltd,2025-03-26,BUY,215151.0,272372.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,2280057.0,2280057.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,868257.0,3148314.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,70590.0,3218904.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,635310.0,3854214.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,705900.0,4560114.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,323.0,4560437.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,123.0,4560560.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,10.0,4560570.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,90.0,4560660.0
1050545,Brookdale Senior Living Inc,2025-05-23,BUY,100.0,4560760.0
1061607,Bukwang Pharmaceutical Co Ltd,2020-03-31,BUY,17388.0,17388.0
1061607,Bukwang Pharmaceutical Co Ltd,2021-02-01,SELL,17388.0,0.0
1062383,Bunge Ltd,2022-10-18,BUY,81026.0,81026.0
1062383,Bunge Ltd,2025-03-26,SELL,81026.0,0.0
1046272,CATCHER TECHNOLOGY CO LTD,2017-04-14,BUY,223029.0,223029.0
1046272,CATCHER TECHNOLOGY CO LTD,2023-03-31,SELL,223029.0,0.0
1050428,CDK Global Inc,2024-06-03,BUY,49201.0,49201.0
1050428,CDK Global Inc,2024-06-03,BUY,49201.0,98402.0
1050428,CDK Global Inc,2025-01-21,SELL,49201.0,49201.0
1050428,CDK Global Inc,2025-03-26,SELL,49201.0,0.0
1048430,CF Industries Holdings Inc,2021-06-29,BUY,105813.0,105813.0
1048430,CF Industries Holdings Inc,2025-03-26,SELL,105813.0,0.0
1045981,CH Robinson Worldwide Inc,2024-06-03,BUY,481017.0,481017.0
1045981,CH Robinson Worldwide Inc,2025-03-26,BUY,10.0,481027.0
1045981,CH Robinson Worldwide Inc,2025-03-26,BUY,243003.0,724030.0
1046512,CHEIL WORLDWIDE INC,2020-03-31,BUY,3248.0,3248.0
1046512,CHEIL WORLDWIDE INC,2021-11-01,SELL,3248.0,0.0
1046244,CHEUNG KONG INFRASTRUCTURE,2018-05-02,BUY,243419.0,243419.0
1046244,CHEUNG KONG INFRASTRUCTURE,2021-06-15,SELL,243419.0,0.0
1046254,CHINA COMMUNICATIONS CONST-H,2017-12-15,BUY,984857.0,984857.0
1046254,CHINA COMMUNICATIONS CONST-H,2020-01-16,SELL,984857.0,0.0
1046479,CHINA COMMUNICATIONS SERVI-H,2018-11-01,BUY,2969551.0,2969551.0
1046479,CHINA COMMUNICATIONS SERVI-H,2019-10-15,SELL,2969551.0,0.0
1046479,CHINA COMMUNICATIONS SERVI-H,2020-07-01,BUY,1496145.0,1496145.0
1046479,CHINA COMMUNICATIONS SERVI-H,2020-07-01,BUY,2027338.0,3523483.0
1046479,CHINA COMMUNICATIONS SERVI-H,2021-04-30,SELL,2027338.0,1496145.0
1046479,CHINA COMMUNICATIONS SERVI-H,2021-06-15,SELL,1496145.0,0.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2020-07-15,BUY,135018.0,135018.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2023-04-01,BUY,135018.0,270036.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2023-04-01,BUY,135018.0,405054.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2023-04-01,BUY,195981.0,601035.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2024-05-01,SELL,135018.0,466017.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2024-05-01,SELL,330999.0,135018.0
1046699,CHINA CONCH VENTURE HOLDINGS LTD,2024-05-01,SELL,135018.0,0.0
1046548,CHINA COSCO HOLDINGS-H,2021-02-15,BUY,1836868.0,1836868.0
1046548,CHINA COSCO HOLDINGS-H,2023-04-01,BUY,1836868.0,3673736.0
1046548,CHINA COSCO HOLDINGS-H,2023-04-01,BUY,1836868.0,5510604.0
1046548,CHINA COSCO HOLDINGS-H,2023-04-01,BUY,2770255.0,8280859.0
1046548,CHINA COSCO HOLDINGS-H,2025-01-20,SELL,1836868.0,6443991.0
1046548,CHINA COSCO HOLDINGS-H,2025-01-20,SELL,4607123.0,1836868.0
1046548,CHINA COSCO HOLDINGS-H,2025-01-20,SELL,1836868.0,0.0
1046594,CHINA DEVELOPMENT FINANCIAL HOLDIN,2021-11-15,BUY,11926530.0,11926530.0
1046594,CHINA DEVELOPMENT FINANCIAL HOLDIN,2022-12-26,SELL,11926530.0,0.0
1046685,CHINA GALAXY SECURITIES CLS H LTD,2017-02-28,BUY,2314177.0,2314177.0
1046685,CHINA GALAXY SECURITIES CLS H LTD,2017-05-15,SELL,2314177.0,0.0
1046525,CHINA JINMAO HOLDINGS GROUP,2022-01-28,BUY,11339092.0,11339092.0
