TRANSACTION_ID,TRANSACTION_TYPE,PRODUCT_ID,TYPE,T_DATE,UNIT,PRICE,COMMISSION,STATUS,NOTES,ADDENUM,UPDATE_DATE,PORTFOLIO_ID,CASH_ACCOUNT,,,
225113,INVESTMENT,1012338,BUY,1/20/2025 10:56,200,55.5,0,CONFIRMED,,NULL,2/17/2025 11:03,4375,HKD,,,
225114,CASH,1012089,SELL,1/20/2025 10:56,11100,1,0,CONFIRMED,CASH TRANSACTION FOR 225113,NULL,2/17/2025 11:03,4375,HKD,,,
225115,INVESTMENT,1046204,BUY,1/20/2025 10:56,1000,23.49,0,CONFIRMED,,NULL,2/17/2025 11:03,4375,HKD,,,
225116,CASH,1012089,SELL,1/20/2025 10:56,23490,1,0,CONFIRMED,CASH TRANSACTION FOR 225115,NULL,2/17/2025 11:03,4375,HKD,,,
225117,INVESTMENT,1046460,BUY,1/20/2025 10:56,4000,4.06,0,CONFIRMED,,NULL,2/17/2025 11:03,4375,HKD,,,
225118,CASH,1012089,SELL,1/20/2025 10:56,16240,1,0,CONFIRMED,CASH TRANSACTION FOR 225117,NULL,2/17/2025 11:03,4375,HKD,,,
225119,INVESTMENT,1046269,BUY,1/22/2025 11:01,3000,42.68,0,CONFIRMED,,NULL,2/17/2025 11:03,4375,TWD,,,
225120,CASH,1046922,SELL,1/22/2025 11:01,128040,1,0,CONFIRMED,CASH TRANSACTION FOR 225119,NULL,2/17/2025 11:03,4375,TWD,,,
225121,CASH,1012080,BUY,2/18/2025 5:44,1000000,1,0,CONFIRMED,INITIAL CASH,NULL,2/18/2025 5:44,4376,USD,,,
225122,CASH,1046921,BUY,2/18/2025 5:44,50000000,1,0,CONFIRMED,INITIAL CASH,NULL,2/18/2025 5:45,4377,KRW,,,
225123,CASH,1012080,SELL,2/17/2025 5:45,1000009,1,0,CONFIRMED,ADD/WITHDRAW CASH,NULL,2/18/2025 5:46,4376,USD,,,
225124,CASH,1012080,BUY,2/18/2025 5:46,9,1,0,CONFIRMED,ADD/WITHDRAW CASH,NULL,2/18/2025 5:46,4376,USD,,,
225125,CASH,1046921,BUY,2/18/2025 5:47,50000000,1,0,CONFIRMED,ADD/WITHDRAW CASH,NULL,2/18/2025 5:47,4376,KRW,,,
